isolated prestige,isolated citations,relational prestige,relational citations,review score
"[True, True, True, False, True, False]","[598, 4, 30862, 0, 1, 0]","[False, True, False, False, False, True, False, True]","[0, 2, 4177, 1, 0, 0, 4, 3]",0.0
"[True, False, True, True]","[73, 403, 1, 2722]","[False, False, True, False, True, False, True, False, False, True, True, False, False, False, True, False]","[0, 0, 3, 82, 5685, 162, 491, 1273, 4034, 414, 3233, 991, 66, 3, 25158, 13970]",0.7333333333333334
"[True, True, False, False, True]","[19, 698, 1359, 0, 14]","[False, True, False, False, False, True, False, False, False, False, False, False, False, False, False, True, False, False, False]","[0, 6, 2, 0, 2912, 0, 2929, 73, 0, 126, 12286, 256, 3340, 2, 6137, 16, 17, 9426, 336]",0.7999999999999999
"[True, True, True, True, True, False, True]","[135, 235, 68462, 1961, 23, 27, 3692]",[],[],0.19999999999999998
"[False, False, False, False]","[16991, 0, 0, 0]",[],[],0.7333333333333334
"[True, True, True, True, False]","[4, 17, 0, 48, 321]",[],[],0.26666666666666666
"[False, False]","[1, 92]","[False, False, False]","[2, 2, 5956]",0.7333333333333334
"[False, True, True, True, True, True, True, True, True]","[184, 354, 57, 1, 20, 22, 4422, 789, 24407]","[True, True, True, True, True, True, True, False, True, True, True, False, False, True, False, True, False, False, True, True, False, True, True, True, False, False, True, True, True, True, False, True, False, True, True, True, True, False, True, True, True, True, True, True, True, False, True, True, False, True, False, True, True, False, False, True, True, True, False, False, True, True, True, True, False, True, True, True, True, True, True, True, True, True, False, True, False, True, True, True]","[1117, 290, 3235, 166, 16817, 145, 6441, 0, 8546, 60, 4, 867, 225, 251, 4112, 58, 99, 227, 22573, 44, 567, 3867, 2667, 145, 0, 0, 350, 405, 6, 53579, 6404, 0, 6426, 774, 679, 1250, 251, 376, 1, 169, 0, 963, 104, 2, 577, 5958, 11196, 1321, 0, 9754, 0, 3732, 22446, 741, 942, 16817, 1712, 1889, 0, 963, 8, 14728, 212, 70, 105, 1318, 671, 46, 212, 2, 1267, 31, 1267, 8804, 106, 16817, 114, 8, 24, 223]",0.8000000000000002
"[False, True, False, False]","[0, 0, 763, 2054]",[],[],0.7333333333333334
"[True, True, True, True, True, True]","[230, 393, 113, 15964, 11812, 4764]","[True, True, True, True, True, True, True, True, True, True, True, True]","[5, 43, 2600, 131, 7604, 563, 104, 92, 563, 245, 72, 1080]",0.4000000000000001
