ego prestige,ego citations,relational prestige,relational citations,avg review score
2,9970,"[2, 2, 500, 2, 2, 2]","[187, 3997, 0, 394, 143, 23]",0.47555555555555556
2,3997,"[2, 101, 2, 301, 2, 2]","[187, 222, 9970, 20176, 143, 23]",0.5644444444444445
99,1,"[61, 500, 61, 61, 500, 61, 500]","[2, 0, 634, 11, 0, 105, 0]",0.6
61,2,"[99, 500, 61, 61, 500, 61, 500]","[1, 0, 634, 11, 0, 105, 0]",0.6
500,0,"[61, 99, 500]","[2, 1, 0]",0.6
500,0,"[61, 99, 500]","[2, 1, 0]",0.6
61,0,"[61, 99, 61, 61, 61]","[189, 10, 1146, 1145, 0]",0.6277777777777778
99,10,"[61, 61, 61]","[189, 0, 0]",0.7
61,0,"[61, 99, 61]","[189, 10, 0]",0.7
61,189,"[99, 61, 61]","[10, 0, 0]",0.7
99,7,"[201, 99, 99, 99, 101, 99, 99]","[10, 0, 101, 0, 6710, 36, 0]",0.7076023391812865
99,36,"[99, 99, 201, 99, 99, 99, 401, 99, 99, 99, 85, 99, 101, 99, 99, 500, 99]","[36, 164, 10, 0, 0, 101, 40, 7, 0, 0, 301, 8, 6710, 16, 0, 0, 0]",0.5555555555555556
101,6710,"[99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 401, 99, 85, 99, 99, 500, 201, 99, 99, 500, 99, 500]","[0, 7, 4021, 0, 0, 0, 430, 0, 164, 101, 40, 0, 301, 8, 16, 0, 10, 0, 36, 0, 36, 0]",0.5086071987480437
500,0,[],[],0.6
99,3,"[99, 151, 401]","[4, 6, 7457]",0.6
151,6,"[99, 401, 99]","[4, 7457, 3]",0.6
401,7457,"[99, 151, 99]","[4, 6, 3]",0.6
99,4,"[401, 151, 99]","[7457, 6, 3]",0.6
201,1,[301],[1],0.7
301,1,[201],[1],0.7
99,51,"[99, 99, 99]","[860, 38, 4812]",0.7
99,38,"[99, 99, 99]","[51, 860, 4812]",0.7
99,860,"[99, 99, 99]","[51, 38, 4812]",0.7
99,4812,"[99, 99, 99, 401]","[51, 860, 38, 872]",0.5911111111111111
500,0,"[101, 201]","[10974, 1827]",0.8
101,10974,"[500, 201]","[0, 1827]",0.8
201,1827,"[101, 500]","[10974, 0]",0.8
61,68,"[99, 61, 61, 99, 61, 61, 61, 61]","[162, 638, 135, 2, 3, 192, 36773, 6134]",0.72
61,3,"[61, 61]","[68, 638]",0.8
61,638,"[61, 61, 61]","[68, 68, 3]",0.692929292929293
500,0,"[101, 99]","[898, 43]",0.4
99,43,"[101, 500]","[898, 0]",0.4
101,898,"[500, 99]","[0, 43]",0.4
500,0,[],[],0.5
101,8,"[301, 13, 151, 49]","[96, 1179, 1399, 2209]",0.5
49,2209,"[301, 13, 101, 151]","[96, 1179, 8, 1399]",0.5
151,1399,"[301, 13, 101, 49]","[96, 1179, 8, 2209]",0.5
301,96,"[13, 101, 151, 49]","[1179, 8, 1399, 2209]",0.5
13,1179,"[201, 34, 151, 201, 500, 99, 101, 49, 101, 101, 99, 301, 151, 101, 151]","[1198, 1166, 1321, 709, 0, 14, 67323, 2209, 8, 12666, 124, 96, 1399, 77767, 13]",0.4722222222222222
301,105,"[101, 101, 101]","[9, 0, 12916]",0.7
101,0,"[101, 101, 301]","[9, 12916, 105]",0.7
101,9,"[101, 101, 301]","[12916, 0, 105]",0.7
101,12916,"[2, 93, 101, 101, 101, 27, 301]","[1384, 12451, 289, 9, 0, 10456, 105]",0.6355555555555554
4,29,"[4, 99, 4, 4]","[3413, 99, 920, 8]",0.8
4,8,"[4, 99, 4, 4]","[3413, 99, 920, 29]",0.8
99,99,"[4, 4, 4, 4]","[3413, 8, 920, 29]",0.8
4,920,"[4, 4, 4, 4, 15, 99, 4, 54, 4, 4, 29, 6, 29, 4, 101, 4, 4, 4]","[3413, 8201, 42, 51, 66, 99, 29, 5373, 516, 39932, 20, 13502, 7308, 335, 14558, 8, 0, 17]",0.6190476190476191
15,66,"[4, 4, 54]","[3413, 920, 5373]",0.8000000000000002
54,5373,"[4, 15, 4, 15, 27]","[3413, 66, 920, 16, 2982]",0.7148148148148148
99,9,"[99, 201, 26]","[0, 121, 12]",0.8
99,0,"[99, 99, 26, 99, 201]","[9, 9, 12, 139, 121]",0.6088888888888889
201,121,"[99, 99, 26]","[9, 0, 12]",0.8
26,12,"[99, 99, 201]","[9, 0, 121]",0.8
500,0,"[151, 151]","[3, 845]",0.5
151,3,"[500, 151]","[0, 845]",0.5
151,845,"[151, 500]","[3, 0]",0.5
11,5,"[11, 500, 11, 101, 11, 500, 500, 11]","[1649, 0, 417, 95, 14284, 0, 0, 6610]",0.6
500,0,"[11, 151, 11, 11, 101, 11, 500, 500, 11]","[1649, 27, 5, 417, 95, 14284, 0, 0, 6610]",0.4622222222222222
11,417,"[11, 500, 11, 101, 11, 500, 500, 11]","[1649, 0, 5, 95, 14284, 0, 0, 6610]",0.6
500,0,"[11, 500, 11, 11, 101, 11, 500, 11]","[1649, 0, 5, 417, 95, 14284, 0, 6610]",0.6
11,14284,"[11, 500, 11, 11, 101, 500, 500, 11]","[1649, 0, 5, 417, 95, 0, 0, 6610]",0.6
101,95,"[11, 500, 151, 11, 11, 11, 11, 500, 500, 500, 11]","[1649, 0, 27, 5, 417, 14284, 3, 0, 0, 0, 6610]",0.37777777777777777
11,6610,"[11, 500, 11, 11, 11, 101, 500, 500]","[1649, 0, 5, 417, 14284, 95, 0, 0]",0.6
500,0,"[11, 500, 11, 11, 11, 101, 11, 500, 500, 11]","[1649, 0, 5, 417, 14284, 95, 3, 0, 0, 6610]",0.3833333333333333
11,1649,"[500, 151, 11, 11, 11, 101, 11, 500, 11, 500, 500, 11]","[0, 27, 5, 417, 14284, 95, 3, 0, 1, 0, 0, 6610]",0.37555555555555553
99,56,"[101, 101]","[10, 29]",0.7333333333333334
101,29,"[101, 99]","[10, 56]",0.7333333333333334
101,10,"[10, 99, 101, 201, 101, 101, 101, 101, 99, 101, 101, 99, 500]","[1848, 56, 29, 58, 613, 3241, 77767, 65, 4, 7030, 568, 1078, 0]",0.5268518518518518
101,70,"[4, 38, 17]","[331, 32744, 37499]",0.8
4,331,"[402, 99, 99, 4, 2, 17, 99, 4, 101, 38, 4, 500]","[10105, 831, 10, 18208, 188, 37499, 831, 1010, 70, 32744, 6, 0]",0.5528888888888889
38,32744,"[4, 17, 101]","[331, 37499, 70]",0.8
17,37499,"[4, 38, 101]","[331, 32744, 70]",0.8
99,0,"[99, 99]","[0, 955]",0.7
99,0,"[99, 99]","[955, 0]",0.7
99,955,"[99, 99]","[0, 0]",0.7
101,634,"[99, 101, 101, 500, 99, 151, 101, 101, 101, 101, 101, 101, 101, 101, 101]","[61, 34, 761, 0, 65, 15648, 483, 188, 283, 7, 5138, 19, 5138, 77767, 68]",0.5222222222222221
99,65,"[101, 500, 101, 101, 151, 99, 99, 101, 301, 101, 101, 101, 101, 101, 10, 101, 101, 101, 101]","[34, 0, 14638, 634, 15648, 2, 757, 483, 7116, 283, 7, 188, 5138, 19, 4, 283, 8, 77767, 37]",0.47333333333333333
500,0,"[99, 101, 101, 101]","[65, 77767, 283, 634]",0.2
101,77767,"[101, 101, 101, 34, 101, 99, 99, 99, 99, 151, 99, 101, 101, 99, 101, 101, 99, 500, 101, 151, 500, 99, 101, 101, 101, 101, 101, 101, 101, 64, 101, 101, 201, 101, 99, 151, 500, 5, 101, 101, 101, 61, 101, 10, 99, 101, 99, 101, 201, 99, 101, 401, 101, 151, 99, 201, 101, 201, 101, 101, 101, 101, 99, 101, 64, 201, 101, 64, 101, 99, 99, 101, 101, 101, 4, 99, 99, 101, 99, 27, 99, 99, 151, 101, 500, 101, 64, 101, 99, 55, 101, 25, 13, 101, 99, 101, 101, 64, 401, 201, 500, 101, 99, 2]","[29, 23, 347, 1166, 327, 37, 2957, 47, 0, 15648, 3, 333, 59, 1078, 10, 19, 0, 0, 761, 13163, 0, 16, 509, 8134, 14638, 613, 5138, 6554, 0, 90250, 12, 188, 11661, 3241, 54, 1708, 0, 31, 222, 483, 5138, 139, 74, 1848, 116, 568, 61, 87, 1198, 679, 4892, 23, 454, 25, 105, 15, 10, 709, 68, 110, 1129, 450, 1264, 7030, 3680, 15, 265, 270, 283, 54, 11, 65, 266, 23, 3413, 65, 514, 32, 116, 6719, 124, 580, 160, 2294, 0, 297, 2, 463, 4, 206, 634, 2, 1179, 7, 1, 34, 114, 8, 30, 58, 0, 74, 4, 3197]",0.5225641025641026
401,1036,"[401, 401, 99]","[988, 1041, 688]",0.6260536398467434
401,988,"[401, 401, 99]","[1041, 1036, 688]",0.5587301587301587
401,1041,"[401, 401, 32, 99, 101, 99]","[988, 1036, 643, 688, 5036, 836]",0.6133333333333335
301,16,[2],[190],0.8
2,190,[301],[16],0.8
12,13,"[99, 500, 99]","[151, 0, 66]",0.7
99,151,"[301, 201, 10, 99, 99, 6, 99, 12, 99, 500, 99]","[446, 1911, 12, 2088, 12289, 22816, 37, 13, 13, 0, 66]",0.6133333333333333
500,0,"[99, 12, 99]","[151, 13, 66]",0.7
99,66,"[301, 201, 10, 99, 99, 6, 99, 12, 99, 99, 500]","[446, 1911, 12, 2088, 12289, 22816, 37, 13, 13, 151, 0]",0.6133333333333333
401,639,"[151, 151, 201, 151]","[5966, 10093, 1552, 1266]",0.6000000000000001
201,1552,"[151, 151, 401, 151]","[5966, 10093, 639, 1266]",0.6000000000000001
151,10093,"[151, 401, 201, 151]","[5966, 639, 1552, 1266]",0.6000000000000001
151,1266,"[151, 151, 401, 201]","[5966, 10093, 639, 1552]",0.6000000000000001
151,5966,"[151, 101, 401, 401, 151, 99, 201, 151, 99]","[10093, 2002, 639, 17160, 1266, 16, 1552, 59, 103]",0.5076923076923077
12,3,[500],[0],0.5333333333333333
500,0,[12],[3],0.5333333333333333
99,0,"[93, 49]","[223, 3506]",0.4
93,223,"[99, 49]","[0, 3506]",0.4
49,3506,"[99, 93]","[0, 223]",0.4
201,7748,"[99, 101, 101]","[1, 199, 5501]",0.8
99,1,"[101, 101, 201]","[5501, 199, 7748]",0.8
101,199,"[101, 101, 99, 101, 201, 500, 101, 101]","[3, 746, 1, 5501, 7748, 0, 6694, 7]",0.512
101,5501,"[99, 101, 201]","[1, 199, 7748]",0.8
301,7116,"[99, 101, 99]","[757, 283, 65]",0.5
101,283,"[99, 301, 99]","[757, 7116, 65]",0.5
99,757,"[301, 101, 99]","[7116, 283, 65]",0.5
14,119,"[500, 1, 500, 61]","[0, 55, 0, 189]",0.5055555555555555
500,0,"[14, 1, 500]","[119, 55, 0]",0.4
