isolated prestige,isolated citations,relational prestige,relational citations,review score
"[True, False, True, True]","[67, 979, 4996, 18572]","[False, True, True, True, True, True, True, True, True, True, True, False, True, True, False, False, True, True]","[55, 249, 1294, 138, 511, 8832, 11048, 5483, 923, 92, 189, 8, 27, 57, 404, 3618, 1773, 5701]",0.3333333333333333
"[False, True, False]","[1678, 4, 9603]","[False, False, False]","[654, 126, 28]",0.5185185185185185
"[True, True]","[132, 184]","[True, True, True, True, False, True]","[7, 3033, 325, 442, 821, 246]",0.5925925925925927
"[True, True, True, True]","[10, 357, 10673, 378]","[True, True]","[10, 357]",0.48148148148148145
"[True, True, True, True]","[23, 284, 16, 3413]","[True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, False, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, False, True, True, False, True, True, True, True, True, False, True, True, True, False, True, True, False, True, True, True, True]","[51, 46, 516, 5182, 17328, 204, 335, 8, 0, 5511, 20, 40, 920, 10048, 2, 51, 29, 13502, 42, 0, 0, 815, 105, 2, 14558, 518, 19312, 8201, 7308, 205, 1672, 5373, 11, 30, 77767, 6953, 66, 47, 17, 39932, 6, 25, 8, 644, 23, 84, 284, 37, 8, 49, 1904, 29, 99, 11274, 0, 920, 99, 12631, 53, 116, 20, 4]",0.5555555555555555
"[True, True, True, True, False, True, False, True, True, True]","[12, 13, 151, 37, 446, 2088, 1911, 22816, 12289, 66]","[True, True, True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, False, True]","[1486, 10106, 0, 145, 1531, 5667, 71, 169, 216, 971, 21, 16, 1072, 3364, 219, 97, 3257, 142, 894, 542, 266, 2530, 20, 163, 130, 1698, 404, 4765, 13, 80, 257, 0, 927]",0.5555555555555555
"[True, False, True]","[4, 150, 2465]",[],[],0.3703703703703704
"[False, True, False, True, True, True]","[230, 32, 844, 246, 1247, 3033]","[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, False, False, True, True, False, True, True, True, True]","[13, 71, 1625, 124, 10456, 4132, 753, 2768, 19, 5667, 12451, 22, 7567, 11, 153, 127, 8, 30497, 1035, 455, 134, 47, 132, 26, 84, 3257, 48, 209, 1647, 22, 988, 0, 3705, 4354, 109247, 6744, 24, 10, 8201, 203]",0.5925925925925926
"[True, True]","[367, 2222]","[True, False]","[0, 16720]",0.4444444444444444
"[True, True, True, True]","[2, 30, 14634, 36959]","[True, False, False, True]","[0, 2163, 18, 90]",0.4074074074074074
"[True, True, True]","[225, 326, 716]","[True, True, True, True, True]","[8, 0, 5067, 0, 1797]",0.5555555555555556
"[False, True, True, True]","[2560, 3, 3054, 19798]",[],[],0.5925925925925926
"[False, False, True, False, True, False, True, False]","[495, 6747, 6, 59, 96, 5968, 114, 18237]",[],[],0.5555555555555556
"[True, True, True]","[2, 714, 13803]",[True],[129],0.33333333333333326
"[True, True, False, False]","[538, 71, 12024, 1668]",[],[],0.5185185185185185
"[False, True]","[0, 5104]","[False, True, True, True]","[193, 1, 2, 4]",0.6296296296296297
"[True, True, False, False, True]","[523, 195, 8720, 668, 8007]","[True, True, True, True, True, True, True, False, True, True, True, True, False, False, True, True, True, True, True, True, False]","[577, 475, 11, 406, 597, 946, 1863, 0, 3115, 868, 2028, 2549, 439, 0, 0, 15, 24616, 9, 9, 1252, 2297]",0.6296296296296297
"[False, True, True]","[0, 1131, 653]","[False, True, True, False]","[69, 1685, 59559, 0]",0.5925925925925927
[True],[43],[],[],0.2592592592592593
"[False, False, True, True, True]","[0, 0, 95, 627, 853]","[True, True, True, True, True, True, True, True, True, True]","[2960, 11048, 8, 6, 66, 921, 17219, 52, 764, 175]",0.6296296296296297
"[False, True, False, False, False, False, False]","[1458, 577, 0, 18, 15, 875, 1053]",[],[],0.2962962962962963
"[True, True, True]","[22, 804, 13853]","[False, False, False, True, True, False, False, True, True, False, False, True, False, True, True, True, True, False, True, True, False, False, True, False, True, True, True, True]","[0, 0, 71, 41, 70, 0, 9, 488, 19, 0, 87, 39, 391, 3061, 2, 17, 2038, 20, 522, 52, 0, 42, 1853, 133, 148, 25, 2360, 1]",0.3333333333333333
"[True, True, True, False, True, True]","[91, 57, 9, 8414, 3696, 7576]",[True],[9289],0.5185185185185185
"[True, True, True]","[0, 566, 160]","[True, True, True, True]","[1509, 277, 36, 7]",0.5555555555555556
